,TimeStamp,X-Axis,Y-Axis,Z-Axis,Velocity,Class
144,10:37:44.306,-0.057,-2.049,9.5,2.85,Fall
145,10:37:44.707,-0.019,-2.03,9.481,1.9,Fall
146,10:37:44.906,-0.057,-2.03,9.481,0.95,Fall
147,10:37:49.506,-0.038,-2.049,9.481,1.89,Fall
148,10:37:50.306,-0.019,-2.03,9.462,0.0,Fall
149,10:37:51.107,-0.153,-2.106,9.481,9.6,Fall
150,10:37:51.506,0.459,-1.398,9.577,70.45,Fall
151,10:37:51.706,-2.049,-1.532,11.971,12.4,Fall
152,10:37:51.907,-1.225,0.689,9.251,16.25,Fall
153,10:37:52.107,-1.091,3.064,8.389,75.21,Fall
154,10:37:52.324,-2.49,6.723,6.32,3.73,Fall
155,10:37:52.837,-2.355,7.374,5.688,59.23,Fall
156,10:37:52.862,-3.026,6.397,7.508,30.71,Fall
157,10:37:52.919,-1.053,4.099,7.585,12.85,Fall
158,10:37:53.118,-1.551,5.305,7.891,45.27,Fall
159,10:37:53.336,-2.528,4.769,7.393,118.29,Fall
160,10:37:53.506,-1.877,5.152,7.7,66.72,Fall
161,10:37:53.707,-1.187,5.075,8.466,69.65,Fall
162,10:37:53.905,-1.474,5.382,7.585,43.05,Fall
163,10:37:54.105,-1.168,5.401,7.355,4.75,Fall
164,10:37:54.304,-1.608,5.631,7.125,17.29,Fall
165,10:37:54.705,-1.091,4.271,6.761,60.05,Fall
166,10:37:54.907,-1.704,5.497,7.393,62.25,Fall
167,10:37:55.106,-2.087,5.612,7.144,25.98,Fall
168,10:37:55.305,-1.972,5.286,6.263,54.6,Fall
169,10:37:55.505,-3.237,5.382,8.044,29.0,Fall
170,10:37:55.716,-2.183,4.865,9.921,127.72,Fall
171,10:37:55.907,-4.367,2.221,7.929,341.0,Fall
172,10:37:56.105,-4.673,2.566,8.083,9.19,Fall
173,10:37:56.314,-6.512,2.739,7.565,109.2,Fall
174,10:37:56.515,-7.067,1.666,6.569,133.2,Fall
175,10:37:56.714,-6.148,2.183,5.995,44.66,Fall
176,10:37:56.905,-6.244,0.019,7.374,44.05,Fall
177,10:37:57.104,-5.018,1.13,7.527,124.5,Fall
178,10:37:57.305,-5.784,2.49,7.7,38.35,Fall
179,10:37:57.505,-4.233,1.628,8.37,66.62,Fall
180,10:37:57.708,-3.16,1.091,8.945,56.68,Fall
181,10:37:57.904,-7.278,1.743,6.589,291.1,Fall
182,10:37:58.104,-7.604,1.494,6.244,46.0,Fall
183,10:37:58.305,-5.535,0.708,7.795,141.7,Fall
184,10:37:58.505,-4.118,-0.268,8.925,78.55,Fall
185,10:37:58.704,-3.313,0.134,8.332,30.7,Fall
186,10:37:58.904,-3.945,-0.038,9.174,1.86,Fall
187,10:37:59.109,-6.129,0.804,7.106,173.98,Fall
188,10:37:59.305,-5.727,0.67,7.546,35.4,Fall
189,10:37:59.505,-3.275,4.405,7.182,291.15,Fall
190,10:37:59.705,-6.225,3.007,8.044,174.3,Fall
191,10:37:59.904,-7.527,0.249,6.282,291.1,Fall
192,10:38:00.104,-6.397,-1.723,7.106,0.9,Fall
193,10:38:00.304,-5.267,-0.038,8.14,191.49,Fall
194,10:38:00.507,-1.417,-1.934,9.117,144.38,Fall
195,10:38:00.708,-0.038,-2.03,9.481,83.6,Fall
196,10:38:00.907,0.019,-2.03,9.481,5.7,Fall
197,10:38:01.305,-0.038,-2.03,9.481,0.0,Fall
1203,10:53:55.287,-0.057,-1.972,9.538,0.9,NotFall
1204,10:53:56.687,-0.038,-1.992,9.557,0.9,NotFall
1205,10:53:56.887,-0.019,-1.972,9.538,1.0,NotFall
1206,10:53:57.089,-0.038,-1.992,9.519,1.95,NotFall
1207,10:53:57.687,-0.057,-1.992,9.538,1.96,NotFall
1208,10:53:58.287,0.019,-1.972,9.5,1.0,NotFall
1209,10:54:00.087,-0.019,-1.992,9.538,1.85,NotFall
1210,10:54:00.487,0.478,-2.126,9.73,27.75,NotFall
1211,10:54:00.687,3.371,-1.264,9.079,155.2,NotFall
1212,10:54:00.886,4.846,-0.747,8.734,82.35,NotFall
1213,10:54:01.087,6.052,-0.842,8.044,20.95,NotFall
1214,10:54:01.287,7.546,-0.651,5.995,18.2,NotFall
1215,10:54:01.487,8.351,-0.632,5.133,1.91,NotFall
1216,10:54:01.687,7.604,-0.383,5.822,9.55,NotFall
1217,10:54:01.887,6.071,-0.861,7.297,26.8,NotFall
1218,10:54:02.087,2.011,-1.838,9.634,135.0,NotFall
1219,10:54:02.287,-0.038,-1.953,9.557,112.05,NotFall
1220,10:54:02.487,-4.099,-1.13,8.753,36.45,NotFall
1221,10:54:03.595,-4.443,-1.398,8.83,668.75,NotFall
1222,10:54:03.602,-4.577,-1.628,8.542,931.43,NotFall
1223,10:54:03.610,-4.194,-0.727,8.753,1868.75,NotFall
1224,10:54:03.618,-3.773,-1.704,7.738,981.88,NotFall
1225,10:54:03.633,-7.853,0.708,6.11,646.27,NotFall
1226,10:54:03.686,-8.6,0.459,4.405,134.38,NotFall
1227,10:54:03.887,-9.423,0.766,2.221,134.33,NotFall
1228,10:54:04.087,-9.596,0.727,1.053,69.35,NotFall
1229,10:54:04.287,-9.519,0.747,1.589,31.65,NotFall
1230,10:54:04.487,-8.964,0.593,3.466,113.9,NotFall
1231,10:54:04.687,-8.638,0.555,4.213,52.01,NotFall
1232,10:54:04.885,-6.454,0.766,6.397,227.81,NotFall
1233,10:54:05.087,-6.857,-0.268,7.029,40.25,NotFall
1234,10:54:05.287,-4.405,-1.302,8.504,144.65,NotFall
1235,10:54:05.487,-1.723,-1.283,9.5,184.85,NotFall
1236,10:54:05.687,2.106,-1.838,9.174,147.4,NotFall
1237,10:54:05.887,4.156,-1.436,8.447,86.25,NotFall
1238,10:54:06.087,6.512,-0.555,7.202,99.6,NotFall
1239,10:54:06.287,8.485,-0.057,5.956,61.25,NotFall
1240,10:54:06.487,9.059,1.053,2.853,70.95,NotFall
1241,10:54:06.687,7.68,0.038,5.899,32.6,NotFall
1242,10:54:06.887,3.256,-2.183,8.447,204.85,NotFall
1243,10:54:07.086,-1.091,-2.106,12.68,1.85,NotFall
1244,10:54:07.287,-0.057,-1.953,9.538,94.44,NotFall
1245,10:54:07.494,-0.076,-1.972,9.538,1.97,NotFall
1246,10:54:07.687,-0.038,-1.972,9.538,0.95,NotFall
1247,10:54:08.487,-0.038,-1.953,9.519,0.95,NotFall
1248,10:54:08.887,-0.057,-1.972,9.519,1.91,NotFall
1249,10:54:09.087,-0.076,-1.953,9.538,0.95,NotFall
1250,10:54:09.487,-0.057,-1.972,9.538,0.0,NotFall
1251,10:54:09.687,-0.076,-1.953,9.538,0.95,NotFall
1252,10:54:10.087,-0.038,-1.953,9.538,2.85,NotFall
1341,10:55:24.688,-0.038,-1.953,9.538,0.0,Fall
1342,10:55:24.886,-0.019,-1.972,9.519,0.95,Fall
1343,10:55:25.087,0.0,-1.992,9.519,1.01,Fall
1344,10:55:25.887,-0.019,-1.972,9.538,0.05,Fall
1345,10:55:26.487,0.0,-1.992,9.519,1.0,Fall
1346,10:55:27.687,0.019,-1.972,9.519,0.05,Fall
1347,10:55:29.688,-0.019,-1.992,9.538,1.0,Fall
1348,10:55:30.087,0.0,-1.992,9.538,0.05,Fall
1349,10:55:30.886,-0.019,-1.972,9.577,1.99,Fall
1350,10:55:31.088,0.0,-1.992,9.557,1.06,Fall
1351,10:55:31.287,0.0,-1.992,9.538,0.9,Fall
1352,10:55:31.887,-0.019,-1.992,9.538,1.95,Fall
1353,10:55:32.887,0.0,-1.992,9.519,1.95,Fall
1354,10:55:35.087,-0.019,-1.972,9.538,1.0,Fall
1385,10:56:00.887,-0.038,-1.972,9.557,1.0,NotFall
1386,10:56:01.687,-0.019,-1.972,9.538,0.05,NotFall
1387,10:56:03.286,-0.019,-1.972,9.538,1.01,NotFall
1388,10:56:04.887,-0.019,-1.972,9.538,0.05,NotFall
1389,10:56:06.487,0.019,-1.972,9.538,1.94,NotFall
1390,10:56:08.487,-0.019,-1.992,9.538,2.91,NotFall
1391,10:56:09.087,0.0,-1.992,9.538,0.9,NotFall
1392,10:56:09.887,-0.019,-1.992,9.538,0.85,NotFall
1393,10:56:12.121,-0.019,-1.972,9.557,390.0,NotFall
1394,10:56:14.888,-0.019,-1.992,9.557,1.01,NotFall
1395,10:56:16.087,-0.019,-1.972,9.538,0.9,NotFall
1396,10:56:16.487,0.0,-1.992,9.557,0.9,NotFall
1397,10:56:16.885,-0.019,-1.972,9.557,0.05,NotFall
1398,10:56:17.085,0.0,-1.992,9.538,1.95,NotFall
1399,10:56:18.087,-0.038,-1.972,9.538,0.9,NotFall
1400,10:56:18.487,-0.019,-1.992,9.557,0.9,NotFall
1401,10:56:18.687,0.0,-1.972,9.538,1.95,NotFall
1402,10:56:19.087,0.0,-1.992,9.538,0.9,NotFall
1403,10:56:20.087,0.0,-1.972,9.538,0.05,NotFall
1404,10:56:21.887,0.0,-1.992,9.538,0.05,NotFall
1405,10:56:23.687,-0.019,-1.972,9.557,1.01,NotFall
